C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/median,C0/p10,C0/p90
2021-01-06T00:00:00.000Z,-2.68418E-06,3.47723E-05,1.67688E-05,6.78568E-06,1.58243E-05,9.69066E-06,2.62835E-05
2021-01-08T00:00:00.000Z,-3.562E-05,3.16806E-05,4.13257E-06,9.04813E-06,4.16997E-06,-7.28155E-06,1.56717E-05
2021-01-09T00:00:00.000Z,-2.52491E-05,4.7993E-05,4.05889E-06,8.78561E-06,4.18178E-06,-7.13669E-06,1.47343E-05
2021-01-10T00:00:00.000Z,-2.53752E-05,3.95715E-05,7.98962E-06,7.54064E-06,7.68615E-06,-9.65E-07,1.72808E-05
2021-01-11T00:00:00.000Z,-6.69702E-06,2.67474E-05,8.91648E-06,6.37915E-06,8.04205E-06,5.95E-07,1.75437E-05
2021-01-12T00:00:00.000Z,-2.18256E-06,2.27794E-05,1.20194E-05,6.19938E-06,1.24595E-05,3.91962E-06,2.20434E-05
2021-01-13T00:00:00.000Z,-2.22105E-05,3.1671E-05,3.96746E-06,8.06639E-06,4.08354E-06,-6.55188E-06,1.45891E-05
2021-01-14T00:00:00.000Z,-2.21229E-05,4.60188E-05,6.19344E-06,7.92249E-06,6.55444E-06,-3.49576E-06,1.63877E-05
2021-01-15T00:00:00.000Z,-1.72505E-05,4.02236E-05,9.29755E-06,9.35534E-06,9.57117E-06,-2.45593E-06,2.01041E-05
2021-01-16T00:00:00.000Z,-7.85261E-06,4.74921E-05,1.50964E-05,1.04885E-05,1.47671E-05,2.44295E-06,3.14159E-05
2021-01-17T00:00:00.000Z,-8.46092E-06,2.86064E-05,1.43444E-05,9.94238E-06,1.65334E-05,-4.91147E-06,2.71245E-05
2021-01-18T00:00:00.000Z,-3.47492E-06,2.65126E-05,1.26827E-05,8.3199E-06,1.2671E-05,2.48911E-06,2.64438E-05
2021-01-19T00:00:00.000Z,-2.26479E-05,3.77025E-05,4.80416E-06,8.30089E-06,4.43708E-06,-5.17319E-06,1.57633E-05
2021-01-20T00:00:00.000Z,-1.45934E-05,3.54005E-05,5.10885E-06,7.43636E-06,5.0746E-06,-3.81746E-06,1.43723E-05
2021-01-21T00:00:00.000Z,-1.6701E-05,4.17469E-05,5.23992E-06,7.98863E-06,4.87385E-06,-3.70671E-06,1.48637E-05
2021-01-22T00:00:00.000Z,-5.6464E-06,2.66139E-05,1.14372E-05,7.24878E-06,1.16598E-05,1.00267E-06,2.29425E-05
2021-01-23T00:00:00.000Z,-2.36361E-05,2.94797E-05,6.6742E-06,7.58901E-06,6.66824E-06,-2.95805E-06,1.63544E-05
2021-01-24T00:00:00.000Z,-2.36205E-05,3.38194E-05,4.33494E-06,8.36194E-06,4.30712E-06,-6.30066E-06,1.49283E-05
2021-01-25T00:00:00.000Z,-2.82168E-05,5.5984E-05,6.99574E-06,1.00378E-05,6.39941E-06,-4.95266E-06,2.00303E-05
